Product Name,Anonymous ID,User Comments,Feature Request/Enhancement,n/a,Other Issue/ Negative Feedback,Positive Feedback,Process Issues,Support Issue,Technical & Performance Issues,Usability Issue
ServiceInsight7,5590,I believe SI is comprehensive Work Management Tool.,0,1,0,1,0,0,0,0
PJM,897,answers may differ as myProjects is developed and implemented. ,0,1,0,0,0,0,0,0
PJM,1690,N/A,0,1,0,0,0,0,0,0
PJM,204,I don't use these tools (My account is Royal Flora Holland),0,1,0,0,0,0,0,0
PJM,2353,None,0,1,0,0,0,0,0,0
PJM,231,N/A,0,1,0,0,0,0,0,0
PJM,983,None ,0,1,0,0,0,0,0,0
PJM,1798,I do not use these tools. ,0,1,0,0,0,0,0,0
PJM,615,"Our Account staff rarely use these tools within the Portal, because our client has their own set of PJM tools that they want us to use.  Maybe that should be one of your questions.  Regards, Geoff Mayer",0,1,0,0,0,0,0,0
PJM,3226,N/A,0,1,0,0,0,0,0,0
PJM,348,I haven't used any of the tools. ,0,1,0,0,0,0,0,0
PJM,1489,I have not used the software.,0,1,0,0,0,0,0,0
ServiceInsight7,216,无,0,1,0,0,0,0,0,0
ServiceInsight7,544,no,0,1,0,0,0,0,0,0
ServiceInsight7,595,"As part of the operations site transition to the SI7 system, we are in process to complete assets/PM plans/tasks descriptions, etc.... We require your support to complete these items in the short/medium period time.",0,1,0,0,0,0,0,0
ServiceInsight7,1018,so some of my answers were vague only because I have only been using the system for 2 months and within those 2 months we are currently moving locations from two existing buildings to a brand newly built 12 story building so my hands have been busy with a bunch of other things at the moment.,0,1,0,0,0,0,0,0
ServiceInsight7,1239,n/a,0,1,0,0,0,0,0,0
ServiceInsight7,1274,I only use the Vendor Activity Site.  I am not sure why we have to use it.  All I do is close out work orders.  we do nothing else in there.,0,1,0,0,0,0,0,0
ServiceInsight7,1450,N/A,0,1,0,0,0,0,0,0
ServiceInsight7,2117,We are a janitorial provider and use SI for work orders from our customers. ,0,1,0,0,0,0,0,0
ServiceInsight7,2366,Yes happy to schedule a call to deep dive and share further details.,0,1,0,0,0,0,0,0
ServiceInsight7,2621,Primarily use VAWs as a contractor performing work for CBRE.  The system works as designed without any bells or whistles.  ,0,1,0,0,0,0,0,0
ServiceInsight7,2719,"I've learned that most web based platforms or software used is always problematic. Sometimes it is intuitive and other times it is not. I have to use it, so I learn to use it to the best of my abilities. ",0,1,0,0,0,0,0,0
ServiceInsight7,2791,Personally do not have any issues with the current platform,0,1,0,0,0,0,0,0
ServiceInsight7,2793,Nil,0,1,0,0,0,0,0,0
ServiceInsight7,2920,"
I'm not sure if the answers I gave are in line with the questions, because I use SI to prepare WOs that need to be POs in JDE not for other reasons.",0,1,0,0,0,0,0,0
ServiceInsight7,3333,Had trouble using when I was first introduced to Service Insight. As time progressed I started to understand and get familiar with the system.,0,1,0,0,0,0,0,0
ServiceInsight7,3439,Nothing is jumping out as yet. But we've just started using it. It seems pretty fast and responsive so far. ,0,1,0,0,0,0,0,0
ServiceInsight7,3552,Issues that I have are being addressed. ,0,1,0,0,0,0,0,0
ServiceInsight7,3773,not commnents,0,1,0,0,0,0,0,0
ServiceInsight7,3878,No Comment everything are fine,0,1,0,0,0,0,0,0
ServiceInsight7,3947,No comments,0,1,0,0,0,0,0,0
ServiceInsight7,4156,n/a,0,1,0,0,0,0,0,0
ServiceInsight7,4339,N/A,0,1,0,0,0,0,0,0
ServiceInsight7,4854,"No, i dont have any comment.  Thanks",0,1,0,0,0,0,0,0
ServiceInsight7,5222,My team uses Service Insights much more than I do.  ,0,1,0,0,0,0,0,0
ServiceInsight7,5849,In regards to the mfm app that I use on a daily basis for the work I do. I do not see anything outstanding about the app and it has some minor faults and could be more user friendly. It gets the job done though so nothing I can complain about.,0,1,0,0,0,0,0,0
ServiceInsight7,5923,I am aware of the strategy for developing SI into a smart FM tool. There are several workstreams (projects) currently ongoing and I watch closely for ay updates. ,0,1,0,0,0,0,0,0
ServiceInsight7,5946,Nothing to add.,0,1,0,0,0,0,0,0
SI LOCAL,2137,none,0,1,0,0,0,0,0,0
SI LOCAL,1814,na,0,1,0,0,0,0,0,0
SI LOCAL,101,NA,0,1,0,0,0,0,0,0
SI LOCAL,664,Not at this time,0,1,0,0,0,0,0,0
SI LOCAL,988,"Just getting to grips with the system, it is quite informative.",0,1,0,0,0,0,0,0
SI LOCAL,144,No comments,0,1,0,0,0,0,0,0
SI LOCAL,594,noy t at this time.thank you.,0,1,0,0,0,0,0,0
SI LOCAL,2905,no,0,1,0,0,0,0,0,0
SI LOCAL,1463,NA,0,1,0,0,0,0,0,0
SI LOCAL,3137,NO,0,1,0,0,0,0,0,0
SI LOCAL,1499,Nothing I can think of as of now.,0,1,0,0,0,0,0,0
SI LOCAL,226,no,0,1,0,0,0,0,0,0
SI LOCAL,680,#NAME?,0,1,0,0,0,0,0,0
SI LOCAL,3181,None on this time,0,1,0,0,0,0,0,0
SI LOCAL,2086,Not at the moment,0,1,0,0,0,0,0,0
SI LOCAL,2121,None ,0,1,0,0,0,0,0,0
SI LOCAL,2656,"NO, not yet.",0,1,0,0,0,0,0,0
PJM,2922,Capital Planner has been a good tool but there is a lot of automatic functionality that would help in the future to prevent from data errors. ,0,0,0,1,0,0,1,0
SI LOCAL,1281,I believe that service insight is a valuable tool in the CBRE arsenal. As a result they need greater flexibility to fully address any issues raised.,1,0,0,1,0,0,0,0
ServiceInsight7,2157,The automations and integrations being made through SI7 and Jarvis project are very helpful for the end users. Makes completing changes in SI7 user friendly. ,0,0,0,1,0,0,0,1
ServiceInsight7,4788,"Jarvis is a good improvement to SI, especially the ability to put all PM Equipment frequencies on one page.",0,0,0,1,0,0,0,1
SI LOCAL,2613,"SI is much better than the previous CAFm system however, its still clunky, slow to update.  ",0,0,0,1,0,0,0,1
SI LOCAL,2486,Some things on SI are good but others are hard to understand and take time,0,0,0,1,0,1,0,0
PJM,1898,Capital Planner is an elegant tool (both visually and in terms of use). I'm guessing there are aspects to it which I'm unaware of - it works well for how I've been directed to use it.,0,0,0,1,0,1,0,0
PJM,1047,The development of tools with this level strengthens and speeds up the work to offer better service to our clients.,0,0,0,1,0,0,0,0
PJM,280,It is a necessary tool for approval of principal delivery projects,0,0,0,1,0,0,0,0
PJM,541,Thanks for the amazing tools that you developed for us,0,0,0,1,0,0,0,0
PJM,2469,"Some of the tools on the portal are really easy to use and very useful like Capital Planner, Estimator, Office Ready, ",0,0,0,1,0,0,0,0
PJM,2605,I was just playing around with the platform without any particular objective. It looks pretty well for me.,0,0,0,1,0,0,0,0
PJM,3222,As an approver of projects for the account the system is very easy to use. ,0,0,0,1,0,0,0,0
Sequentra,172,Programming has accommodated everything we have requested or given us a valid reason why they can't.  ,0,0,0,1,0,0,0,0
ServiceInsight7,237,I used to feel difficult on every input of Problem Description. The updated ServiceInsight is helpful to correct & improve the flaws in Problem Description.,0,0,0,1,0,0,0,0
ServiceInsight7,742,"Me parece que en termnos generales es buena la aplicacion,en mi parece asi esta excelente.",0,0,0,1,0,0,0,0
ServiceInsight7,1167,This is a great platform for work related structure,0,0,0,1,0,0,0,0
ServiceInsight7,1253,Working for CBRE for 15 years now. Last year I started on the State Farm Account and found SI very easy to learn and navigate. Better than any other work order management tool I've used in the last 15 years on other accounts. ,0,0,0,1,0,0,0,0
ServiceInsight7,2532,No improvement needed!,0,0,0,1,0,0,0,0
ServiceInsight7,3126,Very good tool and easy to use,0,0,0,1,0,0,0,0
ServiceInsight7,3253,Thanks ,0,0,0,1,0,0,0,0
ServiceInsight7,3360,"Nothing, it is very detailed and helpful.",0,0,0,1,0,0,0,0
ServiceInsight7,3637,:),0,0,0,1,0,0,0,0
ServiceInsight7,4420,Easy access and useful,0,0,0,1,0,0,0,0
ServiceInsight7,4767,it is very usefull,0,0,0,1,0,0,0,0
ServiceInsight7,5280,"My comment on SI7 2 years ago was to have one sign on for the CBRE system, and CBRE has completed the task. Thank You ",0,0,0,1,0,0,0,0
ServiceInsight7,5360,  I do like a lot of the upgrades that have been recently made on the app.   The adding multiple photos at a time is top tier!!! ,0,0,0,1,0,0,0,0
ServiceInsight7,5408,Interface très agréable.  Je recommande ServiceInsight ,0,0,0,1,0,0,0,0
ServiceInsight7,6029,Overall is good to check and create the work order.,0,0,0,1,0,0,0,0
ServiceInsight7,6453, I do like that it is attached to Coupa. . ,0,0,0,1,0,0,0,0
SI LOCAL,1652,The service insite on a work PC is good and easy to use,0,0,0,1,0,0,0,0
SI LOCAL,92,Day to day logging of jobs etc is straight forward ,0,0,0,1,0,0,0,0
SI LOCAL,2581,the app is helpful,0,0,0,1,0,0,0,0
SI LOCAL,257,very satisfied ,0,0,0,1,0,0,0,0
SI LOCAL,1815,The one good part is the dispatch board display the way I can see each technicians jobs that are coming is good.,0,0,0,1,0,0,0,0
SI LOCAL,3116,"SI is ok, from a user standpoint is does the job.",0,0,0,1,0,0,0,0
SI LOCAL,990,all good,0,0,0,1,0,0,0,0
SI LOCAL,2232,Good system,0,0,0,1,0,0,0,0
SI LOCAL,2790,"I use already service Insight for the time I'm working for CBRE; 5-6years; And its really a great tool where you can do everything with it: making offers, sending mails,......",0,0,0,1,0,0,0,0
SI LOCAL,300,"Not really, everything seems to be ok until now. ",0,0,0,1,0,0,0,0
ServiceInsight7,5631,The reporting is not good and access of the data is not readily available,0,0,1,0,0,0,1,0
ServiceInsight7,2247,The drop down menus could be expanded and better reflect each buildings floors/secure areas/stairwells/ etc.,1,0,1,0,0,0,0,0
ServiceInsight7,913," lacks the ability to provide a modern dashboard overview that can be easily shown or exported for the client, instead of creating manual dashboards or other platforms to make it more efficient. ",1,0,1,0,0,0,0,0
ServiceInsight7,1097," Stop the redundancy of inputting comments on all tasks, some need it, some don't. ",0,0,1,0,1,0,0,0
PJM,874,Stop reinventing the horse cart and use uxisting modern tools ,0,0,1,0,1,0,0,0
SI LOCAL,611,Basic compared with other CRM packages,0,0,1,0,1,0,0,0
SI LOCAL,1694,"The system is not at all competitive with similar systems available in the market in Norway. It is way to complicated to add assets and make changes. I have been working in the business with competitors like ISS and Coor amd we are quite simply not at the league we shoul be at. Many improvement suggestions can be made. First of all we need to be able to add building, assets, PPMs ourself. Also add team members. Could work with you in a workshop and help come with improvements that would make us even more competitive. I hope the next verions are far better. ",0,0,1,0,1,0,0,0
ServiceInsight7,5763,End users such as vendors (VAWS portal) have little flexibility and poor reporting available to manage high volumes of work. ,0,0,1,0,1,0,0,0
ServiceInsight7,3301,The interface of the platform is not good,0,0,1,0,0,0,0,1
ServiceInsight7,4758,The 'Jarvis' update impacted Si7 badly and it has never recovered. ,0,0,1,0,0,0,0,1
ServiceInsight7,4758,the reporting has also been badly impacted by the Jarvis update and is no longer fit for purpose as it now misses PM's when running reports. ,0,0,1,0,0,0,0,1
ServiceInsight7,913,"This platform is not very intuitive, and processing work orders are not easy to do. ",0,0,1,0,0,0,0,1
ServiceInsight7,1097,"Inputting workorders can take time to get to the reason you are looking for, clean up the process. ",0,0,1,0,0,0,0,1
ServiceInsight7,5280,It's too complicated to build and run reports.,0,0,1,0,0,0,0,1
ServiceInsight7,5280,The recording of labour hours is also terrible,0,0,1,0,0,0,0,1
ServiceInsight7,6139,"Not very well laid out, poor detail on what it is, where it is, how to use it and access it. Cumbersome to use, not user friendly. Dated needs end user input on new version. ",0,0,1,0,0,0,0,1
SI LOCAL,92,pulling of reports/ data etc is not useful- Harbour is more accurate. ,0,0,1,0,0,0,0,1
ServiceInsight7,3515,It can be a bit challenging when creating a new caller profile or navigating the drop down list for finding existing callers. I can find the profiles in SI7 but not in Service insight/jarvis unfortunately. ,0,0,1,0,0,0,0,1
ServiceInsight7,3028,"The tool is not user frindly. It is difficult to navigate. I cannot find assets, PMP schedules. ",0,0,1,0,0,0,0,1
ServiceInsight7,4296,"I find MFM app difficult to work with, doesn't really work like desk top version.",0,0,1,0,0,0,0,1
SI LOCAL,1652,but to use it on work phone is quit different and challenging ,0,0,1,0,0,0,0,1
SI LOCAL,967,ServiceInsight is not user friendly. It is the worst  CAFM system I've used. ,0,0,1,0,0,0,0,1
ServiceInsight7,4028,Sharing pictures is difficult.,0,0,1,0,0,1,0,0
ServiceInsight7,2125," We can not edit Assets, PM's, etc ",0,0,1,0,0,1,0,0
ServiceInsight7,4361,My training was months before I actually had access which meant I'd forgotten half of what I learned. Please make sure the trainings are closer to when we actually have access to these tools.,0,0,1,0,0,1,0,0
PJM,2777,These tools were one reason to leave the Project Management Team and change internally. The programs are not helpful. They require a lot of effort and unnecessarily increase project costs. The structures do not fit German / European project management processes. They prevent successful acquisitions and prevent sales.,0,0,1,0,0,0,0,0
PJM,1774,"I'm not using the tools - I had a look at these for a course on Project Management, but generally the Building Consultancy side does not utilise these tools",0,0,1,0,0,0,0,0
PJM,251,  Approval process could be streamlined... can sometimes take a long time with people so high up getting involved in something they have know actual knowledge of seems pointless.,0,0,1,0,0,0,0,0
PJM,499,"For the moment it is very time consuming and I can not see all the benefits of the tool for my own work, but I understand that it is good for a larger organisation than the one we have in Sweden.",0,0,1,0,0,0,0,0
PJM,638,Office Ready is NOT a technology any PJM teams used. It is a client facing portal and we have sold little to no projects through that program. ,0,0,1,0,0,0,0,0
PJM,638," PDA is a governance tool which is required, but is not a tech that actively helps PJM's do their projects, it adds complexity for purpose of audits.",0,0,1,0,0,0,0,0
PJM,700,"Improve efficiency if the whole governance aspect, have appropriate DOA's commensurate with value and risk, ensure leadership are aligned with the requirements and expectations. ",0,0,1,0,0,0,0,0
PJM,1801,"I oversee capital planning for an IT client in the APAC region. When this tool was first released, I tested it and found it lacking in several areas. It needs more features related to site assumptions, project phasing, and automatically distributing capital over the years. Due to these shortcomings, we decided not to implement it.",0,0,1,0,0,0,0,0
PJM,3233,Build governance in so you cannot advance without certain criteria being met,0,0,1,0,0,0,0,0
ServiceInsight7,70,"There are options that are general and hopefully more specific, especially when you need to give a problem code. ",0,0,1,0,0,0,0,0
ServiceInsight7,94,Not user friendly for most back end updates. Very inefficient and bulky methods for any customization. Poor notification system and very hard to update. Very Outdated. Poor Platform team support for best in class service. ,0,0,1,0,0,0,0,0
ServiceInsight7,493,"""Best in class reports"" direct from SI - current list of downloads and reports available are limited. If we need to design a new one there is a cost to the account. This is an element to improve the generic reports available.",0,0,1,0,0,0,0,0
ServiceInsight7,812,the desktop interface is not very intuitive and even the individual actions/steps to carry out the required work are not easy to use,0,0,1,0,0,0,0,0
ServiceInsight7,1265,Somethings just get you sent on a loop. You need an email or phone number to verbally talk or email a human  ,0,0,1,0,0,0,0,0
ServiceInsight7,1363,Need to be clarify on the GL account      ,0,0,1,0,0,0,0,0
ServiceInsight7,1416, Why don't all subs show that could potentially be linked to a parent work order? - Even the subs that are created off a SUB.  ,0,0,1,0,0,0,0,0
ServiceInsight7,1454,"I find aMFM most useful because of the ease of using it, especially in created completed WO. This keeps track of my interaction with the clients on sites on, on a daily basis. Staff members prefer walking up to me ( or send a e-mail )  and requesting my assistance than  raising a WO for me,  for any task they need me to complete on site. ",0,0,1,0,0,0,0,0
ServiceInsight7,1850,once logged in should be easy to add photos or comments and should show updated in system,0,0,1,0,0,0,0,0
ServiceInsight7,2444," allow us the vendors to extend work orders with some guidelines. requesting extensions often does not happen quickly and they can sit in overdue status even though we have requested them.  We then get the  ""Past Due Work Orders"" . when a quote is finally approved - 90% of the time they are overdue right away. It would be helpful & less labor required for the vendors and CBRE to readdress the overdue at that time. ",0,0,1,0,0,0,0,0
ServiceInsight7,2883,"Yes, I have lots of comments, and you may not like them. When I joined CBRE on the Yahoo account, they were using something called Intrepid. It was garbage and they upgraded to SI7, which I help beta test for the account. It's not much better. ",0,0,1,0,0,0,0,0
ServiceInsight7,3053,The amount of options (too many and being excessive ) is not needed for the site we are managing. ,0,0,1,0,0,0,0,0
ServiceInsight7,3153,Actually ask some questions which are relevant to engineers.,0,0,1,0,0,0,0,0
ServiceInsight7,3815,"there is so many tabs and links, I used only three so far, so I wonder what the rest is. ",0,0,1,0,0,0,0,0
ServiceInsight7,3953,"Different errors since migration to the cloud:  Forced to use AI to suggest a problem code is really a stupid idea. Why did this have to be changed? Why do I have to be offered several solutions - which can also be wrong if my keyword is not chosen correctly? We have all known for years what we have to do! This change to AI is MORE work, not less! The results take up to 15 seconds per search. I would have been finished with first step of old version by this time! Problem codes are only displayed as text not as numbers - the correct code has to be searched for in the next work steps. In the first step you can no longer write anything down in the text field - it is simply not transferred to the WO. This means another step of filling in the text field. Files in all formats cannot be uploaded at the moment. Only a workaround Robin told me makes it possible - but again with a time delay, because you have to add one more step. This change has no added value at all!  Persistent error: The problem codes are not correctly assigned to CORE or NON CORE. You must ALWAYS doublecheck whether  the box is ticked correctly.   ",0,0,1,0,0,0,0,0
ServiceInsight7,3981, Also the automatic emails sent need a big review. They are not easy to understand and they are too many.,0,0,1,0,0,0,0,0
ServiceInsight7,3998,handling should be easy like FMP,0,0,1,0,0,0,0,0
ServiceInsight7,4058,At the moment we are having difficulties closing off jobs and and is being fixed ,0,0,1,0,0,0,0,0
ServiceInsight7,4108,I would like to see if a work order is created on phone app that it dispatches correctly.   ,0,0,1,0,0,0,0,0
ServiceInsight7,4346,FM's need access to edit assets on the fly.  ,0,0,1,0,0,0,0,0
ServiceInsight7,4430,From app to call in center the system is shot and requires so much work it needs to be redone from top down.  ,0,0,1,0,0,0,0,0
ServiceInsight7,4569,There are too many functions in SerivceInsight that seems irrelevant for working with Work Orders.,0,0,1,0,0,0,0,0
ServiceInsight7,4919,they should be need to introduce SI7 to client as most associates do not know if it exist. ,0,0,1,0,0,0,0,0
ServiceInsight7,5072,Asset and PM Module,0,0,1,0,0,0,0,0
ServiceInsight7,5225,More user friendly,0,0,1,0,0,0,0,0
ServiceInsight7,5239,Bring back the old version where you could pick you problem code before entering description. ,0,0,1,0,0,0,0,0
ServiceInsight7,5763, Reporting is extremely limited for all users which leads to additional administrative requirements from the CBRE team. ,0,0,1,0,0,0,0,0
ServiceInsight7,5781,"Si is very easy to use when you know where to find it, but at times can be difficult to find tools that would make daily tasks easier.",0,0,1,0,0,0,0,0
ServiceInsight7,5938,the available reports are not easy to create/customize (at least for me),0,0,1,0,0,0,0,0
ServiceInsight7,6101,I think SI7 works well when it works. We are currently experiencing major issues with SI7. I'm no even able to open a work order right now. ,0,0,1,0,0,0,0,0
ServiceInsight7,6395, it is hard to follow a comment string as all of the notifications are distracting.,0,0,1,0,0,0,0,0
ServiceInsight7,6453, duplicating monthly PM'S and sending them to incorrect people even after we have corrected the issue. ,0,0,1,0,0,0,0,0
SI LOCAL,3457,could be better. ,0,0,1,0,0,0,0,0
SI LOCAL,875,"Client request web is ok, but as I am a back office user the rating turned out to be low...the interface is old and not intuitive.",0,0,1,0,0,0,0,0
SI LOCAL,234,Complete re-work of the the app. It is unnecessarily overcomplicated and extremely slow to use.,0,0,1,0,0,0,0,0
SI LOCAL,1928,"for my job, it's an utter pain because we can't track jobs by properties to look back at issues. so it only helps in the moment. With our old system i was able to create properties and didn't have to go through a 3rd party not in house for us. It should be a lot easier to use.  ",0,0,1,0,0,0,0,0
SI LOCAL,1271,Too many to list,0,0,1,0,0,0,0,0
PJM,877,"Bring back estimator - this was taken off line and has not been replaced, and teh cost management team are NOT supporting despite the message on the tool",0,0,1,0,0,0,0,0
ServiceInsight7,2180,"Setting up PM and specific equipment is not intuitive, time  consuming with all of the other task and training that is required. ",0,0,1,0,0,0,0,0
ServiceInsight7,2290,"When you are submitting information into Si7, it's a very easy software to use. My job requires me to follow-up as well review data inputted in Si7, and it's easier for me to export data into excel and review it that way. Therefore, for day to day data-entry, very easy to use. For maintenance of records, it's easier to review data with Excel. For support to Management, if you want to review the progress of work orders being resolved (or invoiced), answer vendor payment follow-ups, the easiest way to do so is through a combination of data exported from Si7 into excel sheets (encrypted with passwords for security). I am available to demonstrate on my screen if you're interested. ",0,0,1,0,0,0,0,0
ServiceInsight7,2571,You can improve by reducing the number of emails sequesters receive upon both opening and closing tickets.,0,0,1,0,0,0,0,0
ServiceInsight7,2832,  It would also be helpful if I was able to change my time zone.  ,0,0,1,0,0,0,0,0
ServiceInsight7,3301, the reports are very restricted,0,0,1,0,0,0,0,0
ServiceInsight7,3515,Also the default site that loads up for existing callers cannot be changed when the caller has transferred to a different branch. This may be worth looking into to reduce call handling time on a call.,0,0,1,0,0,0,0,0
ServiceInsight7,4733,Digging around to get the basic info gets to be a hassle,0,0,1,0,0,0,0,0
ServiceInsight7,5906,Chinese version is not actual correct. It looks like Machine Translation. It could be improved as many account use SI in Chinese. I still have some comments can share with the people who's really want to have. I want to say I think SI is good if the cunnrent funtions can be more friendly and effectively to use. You can find me on teams with kelvin.jiang@cbre.com.,0,0,1,0,0,0,0,0
ServiceInsight7,3725,Often I have to pull data from multiple reports to get what I need then I scrub it for presentation to the client. It is a significant effort each time.,0,0,0,0,0,0,1,0
ServiceInsight7,3370,"it's very slow, and takes time to load work orders or different information, which is super frustrating  ",0,0,0,0,0,0,1,0
ServiceInsight7,3740,This app crashes often. ,0,0,0,0,0,0,1,0
