Product,ID,Comments,Feature_Request_Enhancement,NA,Other_Issue_Negative_Feedback,Positive_Feedback,Process_Issue,Support_Issue,Technical_Performance_Issue,Usability_Issue
ServiceInsight7,YC_57,Perhaps more access for techs. ,1,0,0,0,1,0,0,0
ServiceInsight7,YF_89,ServiceInsight is very easy to use but sometimes the SI is very slow and takes to much time to create a work order,0,0,0,0,0,0,1,0
ServiceInsight7,XZ_321,"it could be a little more specific for what we do.   Say, we have jail security network which includes card reader system as a sub system to the computerized access system.  And Si7 only have card reader system... ",1,0,0,0,0,0,0,0
ServiceInsight7,WH_115,"The only complaint I have is that I have to close orders on my mobile device, It would be so much easier to do all from desktop or if we have a windows based Ipad or notebook",1,0,0,0,0,0,0,1
ServiceInsight7,wm_195,Actually my dismay is with IMFM. It has continued issues.,0,0,0,0,0,0,1,0
ServiceInsight7,wd_61,"SI has a lot of bugs still, even after the crash and update. Need to work on being better and user friendly.",0,0,0,0,0,0,1,0
ServiceInsight7,wa_ClientAddress_9,"The report process is lengthy and after putting all the settings right, it still doesn't generate reports ",0,0,0,0,0,0,1,1
ServiceInsight7,ws_270,se podri­a tener una opcion para cambiar de estado las WO PM en vez de cambiar de a una  por lo demas muy buena app,1,0,0,0,0,0,0,1
ServiceInsight7,VL_172,"Some of the sub-categories are not obvious, such as ""other services"", etc. when trying to find the issue you're trying to address.  Meeting room set-up should be easy to find, etc.",0,0,0,0,0,0,0,1
ServiceInsight7,VRR_ClientAddress_243,"Maybe is lack of training, but there are certain tools that I'm still have difficult to use or understand.",0,0,0,0,0,1,0,0
ServiceInsight7,vc_38,MFM  needs a total overhall. ,0,0,0,0,0,0,0,1
ServiceInsight7,VE_79,"Navigation is brutal.  Toggling back a screen is awful and you have to start completely over again.  Ex: Site history - list populates - dive into WO, back out and have to re-enter parameters again, instead of going to the previous screen",0,0,0,0,0,0,0,1
ServiceInsight7,VP_230,Lag to run reports or Lag in general when entering work orders. Timing out of the system with no warning or notification,0,0,0,0,0,0,1,0
ServiceInsight7,vr_ClientAddress_241,I can be more interactive and user friendly. ,0,0,0,0,0,0,0,1
ServiceInsight7,ue_ClientAddress_80,"Sometimes the platform as such has speed problems or integration with other platforms, for example: MyBuy, generation of emails or notifications, it is slow to load files",0,0,0,0,0,0,1,0
