Category,Tool,Latest Version,License,Stage
,,,,
Analytics,Amplitude,,,Restricted
Analytics,Avo,,,Prohibited
Analytics,Bitdeli,,,
Analytics,Chartio,,,Prohibited
Analytics,Dataform,3.0.0,Apache-2.0,Approved
Analytics,Descript,,,
Analytics,Google Analytics,,,Approved
Analytics,Heap,,,Prohibited
Analytics,Mixpanel,,,Restricted
Analytics,Poli,0.12.2,MIT,Approved
Analytics,Power BI,,,Approved
Analytics,segment,,,Restricted
Application Hosting,Amazon EC2,,,Approved
Application Hosting,Amazon VPC,,,Approved
Application Hosting,Amazon Web Services (AWS),,,Approved
Application Hosting,Apache Camel,,Apache-2.0,Approved
Application Hosting,Apache Tomcat,,Apache-2.0,Approved
Application Hosting,Apex,,MIT,Restricted
Application Hosting,Apollo,0.5.0,MIT,Trial
Application Hosting,AWS Elastic Beanstalk,,,Approved
Application Hosting,AWS Lambda,,,Approved
Application Hosting,Azure Functions,,,Approved
Application Hosting,Effe,,MIT,Prohibited
Application Hosting,ElasticHosts Cloud Servers,,,Approved
Application Hosting,firebase,10.11.1,,Restricted
Application Hosting,GeoServer,2.25.2,,Trial
Application Hosting,gevent,,,Restricted
Application Hosting,GlassFish,,,Restricted
Application Hosting,Google App Engine,,,Trial
Application Hosting,Gun,0.2019.413,,Prohibited
Application Hosting,gunicorn,22.0.0,,Trial
Application Hosting,Harp,0.40.3,,
Application Hosting,Heroku,,,Restricted
Application Hosting,Internal,,,Restricted
Application Hosting,IronWorker,,,Prohibited
Application Hosting,Jetty,,,Prohibited
Application Hosting,Linode,,,Restricted
Application Hosting,Microsoft Azure,,,Approved
Application Hosting,Microsoft IIS,,,Approved
Application Hosting,NATS,,,Trial
Application Hosting,Nchan,,,Prohibited
Application Hosting,NGINX,,,Approved
Application Hosting,Owin,,,Approved
Application Hosting,parse,5.0.0,,Prohibited
Application Hosting,PubNub,,,Restricted
Application Hosting,Red Hat OpenShift,,,Restricted
Application Hosting,Render,,,
Application Hosting,Seed,,,Prohibited
Application Hosting,Serverless,4.1.17,MIT,Approved
Application Hosting,SignalR,2.4.3,,Approved
Application Hosting,Socket.IO,4.7.5,,Approved
Application Hosting,Uvicorn,0.30.5,BSD-3-Clause,Trial
Application Hosting,uWSGI,,,Approved
Application Hosting,ws,8.17.0,MIT,Approved
Application Hosting,Zope,,,Restricted
Application Utilities,4D,,,Approved
Application Utilities,Alamofire,5.9.1,MIT,Approved
Application Utilities,Algolia,,,Approved
Application Utilities,Amazon API Gateway,,,Approved
Application Utilities,Amazon Kinesis Firehose,,,Approved
Application Utilities,Assemble,,MIT,
Application Utilities,Auth0,,,Prohibited
Application Utilities,AWS Direct Connect,,,Approved
Application Utilities,Azure Key Vault,,,Restricted
Application Utilities,Azure Search,,,Approved
Application Utilities,Blitz,,,
Application Utilities,Casbin,2.98.0,Apache-2.0,Restricted
Application Utilities,Elastic,7.0.32,MIT,Restricted
Application Utilities,elasticsearch,8.14.3,,Approved
Application Utilities,esdoc,,,
Application Utilities,F5,,,Restricted
Application Utilities,Formik,2.4.6,Apache-2.0,Restricted
Application Utilities,Gatsby,5.13.4,MIT,Restricted
Application Utilities,Google reCaptcha,,,Restricted
Application Utilities,i18next,23.11.4,,Restricted
Application Utilities,Iterate,,,
Application Utilities,Jekyll,4.3.3,MIT,Trial
Application Utilities,jsdoc,4.0.3,,Approved
Application Utilities,JSON Web Token,2.8.2,MIT,Approved
Application Utilities,jupyter,7.2.1,BSD-3-Clause,Approved
Application Utilities,k6,0.46.0,AGPL-3.0,Restricted
Application Utilities,Keras,3.4.1,,Approved
Application Utilities,LDAP,,,
Application Utilities,Leaflet,1.9.4,BSD-2-Clause,Trial
Application Utilities,Lob,,,
Application Utilities,Locust,2.30.0,MIT,Prohibited
Application Utilities,Lottie,6.4.0,Apache-2.0,Prohibited
Application Utilities,Make,,,Restricted
Application Utilities,Mapbox,,,Approved
Application Utilities,Material,3.1.8,MIT,Approved
Application Utilities,McAfee Endpoint Protection,,,Approved
Application Utilities,MkDocs,,,Approved
Application Utilities,Netlify,,,Restricted
Application Utilities,NPOI,2.6.2,Apache-2.0,Approved
Application Utilities,OpenID Connect,,,Approved
Application Utilities,OpenLayers,10.0.0,BSD-2-Clause,Approved
Application Utilities,oso,0.27.1,Apache-2.0,Prohibited
Application Utilities,passport,0.7.0,MIT,Approved
Application Utilities,Paw,,,
Application Utilities,requests,2.32.3,Apache-2.0,Approved
Application Utilities,RestSharp,111.4.1,Apache-2.0,Trial
Application Utilities,Retrofit,2.11.0,Apache-2.0,Approved
Application Utilities,scikit-learn,1.5.1,BSD-3-Clause,Prohibited
Application Utilities,Sentence Transformers,,,
Application Utilities,slate,2.13.1,Apache-2.0,
Application Utilities,Sphinx,,,Restricted
Application Utilities,stream,,,Approved
Application Utilities,Streamlit,1.37.0,Apache-2.0,Approved
Application Utilities,Swagger UI,5.17.14,Apache-2.0,Approved
Application Utilities,TensorFlow,2.17.0,Apache-2.0,Approved
Application Utilities,torch,,,
Application Utilities,Transformers,4.43.3,Apache-2.0,Approved
Application Utilities,Vercel,,,Prohibited
Application Utilities,VuePress,1.9.10,MIT,Approved
Application Utilities,zap,,,
Assets and Media,Amazon CloudFront,,,Approved
Assets and Media,cURL,8.9.1,,Approved
Assets and Media,Flurl,3.2.0,MIT,Restricted
Assets and Media,GStreamer,,,
Assets and Media,ImageMagick,7.1.1,,Prohibited
Assets and Media,libpng,,,Restricted
Assets and Media,OpenCV,4.10.0,,Restricted
Assets and Media,OpenJPEG,2.5.2,,Approved
Assets and Media,Pandoc,3.3,,
Assets and Media,PDF.js,,,Approved
Assets and Media,pdfmake,,,Trial
Assets and Media,Pillow,10.4.0,,Trial
Assets and Media,Typ,,Apache-2.0,
Assets and Media,WeasyPrint,62.2,BSD-3-Clause,Approved
Assets and Media,WinSCP,,GPL-3.0,Approved
Back Office,Canvas,,,Trial
